ACID|FIXEDTERM_MNTHS|FIXEDTERM_YEARS|REPRICING_PLAN|RATE_FIXING_METHOD|ENTITY_CRE_FLG|DEL_FLG|LCHG_USER_ID|LCHG_TIME|RCRE_USER_ID|RCRE_TIME|TS_CNT|FLOAT_INT_TBL_CODE|FLOAT_REPRICING_FREQ_MNTHS|FLOAT_REPRICING_FREQ_DAYS|RULE_CODE|BANK_ID
013093342|0|0|F||Y|N|00956|2015-03-26 17:36:16.0|C0305|2015-03-26 16:52:23.0|1||0|0||01
013095038|0|0|F||Y|N|CDCI|2015-03-27 20:20:56.0|CDCI|2015-03-27 20:20:55.0|1||0|0||01
013097364|0|0|F||Y|N|05324|2015-03-30 20:10:44.0|C1893|2015-03-30 20:06:04.0|1||0|0||01
013095823|0|0|F||Y|N|05443|2015-03-28 19:01:55.0|C1861|2015-03-28 18:40:08.0|1||0|0||01
013095830|0|0|F||Y|N|05615|2015-03-28 19:54:37.0|C1616|2015-03-28 19:23:38.0|1||0|0||01
013095835|0|0|F||Y|N|05615|2015-03-28 20:02:38.0|C1616|2015-03-28 19:57:04.0|1||0|0||01
013095995|0|0|F||Y|N|05443|2015-03-29 17:59:25.0|C1861|2015-03-29 17:48:57.0|1||0|0||01
013096369|0|0|V||Y|N|03814|2015-03-30 11:59:05.0|C1230|2015-03-30 11:48:51.0|1||0|0||01
013096375|0|0|F||Y|N|05615|2015-03-30 12:30:23.0|C1616|2015-03-30 11:57:26.0|1||0|0||01
013096713|0|0|F||Y|N|05324|2015-03-30 14:13:05.0|C1893|2015-03-30 14:00:39.0|1||0|0||01
013097225|0|0|V||Y|N|05489|2015-03-30 19:36:50.0|C1230|2015-03-30 19:27:23.0|1||0|0||01
013098054|0|0|F||Y|N|05324|2015-03-31 16:24:59.0|C1697|2015-03-31 16:01:16.0|1||0|0||01
013098193|0|0|V||Y|N|05489|2015-03-31 17:04:01.0|C1230|2015-03-31 16:59:50.0|1||0|0||01
013098750|0|0|F||Y|N|05324|2015-03-31 21:37:09.0|C1893|2015-03-31 21:32:32.0|1||0|0||01
013097461|0|0|F||Y|N|05324|2015-03-30 22:13:10.0|C1893|2015-03-30 22:10:35.0|1||0|0||01
013097721|0|0|V||Y|N|03740|2015-03-31 13:31:50.0|C0643|2015-03-31 11:54:17.0|1||0|0||01
013097904|0|0|F||Y|N|04584|2015-03-31 15:10:41.0|C1894|2015-03-31 14:21:14.0|1||0|0||01
013097974|0|0|V||Y|N|05489|2015-03-31 15:31:59.0|C1230|2015-03-31 15:07:07.0|1||0|0||01
